sku,name,reason
250660,Bio Servietten 33x33cm 1/8-Falz 2-lagig 2000 Stk.,nicht_in_excel
250662,Bio Servietten 24x24cm 1/4-Falz 2-lagig 4000 Stk.,nicht_in_excel
250663,Bio Servietten 33x33cm 1/4-Falz 2-lagig 2000 Stk.,nicht_in_excel
250664,Bio Servietten 40x40cm 1/8-Falz 2-lagig 1500 Stk.,nicht_in_excel
250665,Bio Servietten 40x40cm 1/4-Falz 2-lagig 1500 Stk.,nicht_in_excel
305020,Bestecktaschen mit integrierter Serviette orange,nicht_in_excel
305021,Bestecktaschen mit integrierter Serviette cream,nicht_in_excel
305022,Bestecktaschen mit integrierter Serviette Yellow,nicht_in_excel
305023,Bestecktaschen mit integrierter Serviette Lime,nicht_in_excel
305024,Bestecktaschen mit integrierter Serviette white,nicht_in_excel
62116,Food Box 16oz Weiss 500 Stk.,nicht_in_excel
62126,Food Box 26oz Weiss 500 Stk.,nicht_in_excel
GM12OZCARB,Coffee To Go Becher 300ml weiß 500 Stk.,nicht_in_excel
GM12OZCARK,Coffee To Go Becher 300ml natur-braun 1000 Stk.,nicht_in_excel
GM16OZCARB,Coffee To Go Becher 400ml weiß 500 Stk.,nicht_in_excel
GM16OZCARK,Coffee To Go Becher 400ml natur-braun 1000 Stk.,nicht_in_excel
GM8OZCARB,Coffee To Go Becher 200ml weiß 500 Stk.,nicht_in_excel
GM8OZCARK,Coffee To Go Becher 200ml natur-braun 1000 Stk.,nicht_in_excel
SP10783S,SPARSET -1000 Stk. Coffee to Go Becher 400ml,nicht_in_excel
SP10783W,SPARSET -1000 Stk. Coffee to Go Becher 400ml + Deckel,nicht_in_excel
SP11511S,SPARSET -1000 Stk. Coffee to Go Becher 300ml,nicht_in_excel
SP11511W,SPARSET -1000 Stk. Coffee to Go Becher 300ml + Deckel,nicht_in_excel
SP11513S,SPARSET -1000 Stk. Coffee to Go Becher 200ml,nicht_in_excel
SP11513W,SPARSET -1000 stk. Coffee to Go Becher 200ml,nicht_in_excel
V2044660U-1000,Mehrwegmesser - Superior Schwarz 1000 Stk.,nicht_in_excel
V2044660U-2000,Mehrwegmesser - Superior schwarz 2000 Stk.,nicht_in_excel
V2044660U-50,Mehrwegmesser - Superior Schwarz 50 Stk.,nicht_in_excel
VU1957783,DUNI Servietten 33 x 33 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU1957853,DUNI Servietten 40 x 40 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU1961743,DUNI Servietten 40 x 40 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU1965053,DUNI Servietten 33 x 33 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU1965093,DUNI Servietten 33 x 33 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU1965673,DUNI Servietten 33 x 33 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU1965683,DUNI Servietten 33 x 33 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU1965763,DUNI Servietten 33 x 33 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU1965773,DUNI Servietten 33 x 33 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU1965783,DUNI Servietten 33 x 33 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU1965843,DUNI Servietten 33 x 33 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU1965883,DUNI Servietten 33 x 33 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU1966093,DUNI Servietten 33 x 33 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU1966172,DUNI Servietten 40 x 40 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU1966203,DUNI Servietten 40 x 40 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU1966213,DUNI Servietten 40 x 40 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU1966273,DUNI Servietten 40 x 40 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU1966293,DUNI Servietten 40 x 40 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU1966303,DUNI Servietten 40 x 40 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU1966383,DUNI Servietten 40 x 40 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU1966603,DUNI Servietten 33 x 33 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU2001594,DUNI Servietten 40 x 40 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU2005236,DUNI Servietten 40 x 40 cm 3 Lagig 1000 Stk.,nicht_in_excel
